Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Puntos de solución,Tiempo de Ejecución
"max_div_15_3.txt",15,3,5,4,89.829426,(0.300000 | 0.920000 | 4.230000) (8.420000 | 9.050000 | 4.390000) (9.880000 | 9.880000 | 6.260000) (1.710000 | 1.950000 | 9.220000) (1.150000 | 9.210000 | 3.110000) ,0.000026
"max_div_15_3.txt",15,3,5,5,85.148871,(8.670000 | 9.580000 | 4.390000) (2.150000 | 2.480000 | 6.870000) (9.880000 | 9.880000 | 6.260000) (5.170000 | 1.390000 | 0.910000) (0.300000 | 0.920000 | 4.230000) ,0.000031
"max_div_15_2.txt",15,2,2,2,11.697222,(8.410000 | 9.980000) (0.580000 | 1.290000) ,0.000015
"max_div_15_2.txt",15,2,2,3,10.659123,(9.960000 | 8.170000) (1.590000 | 1.570000) ,0.000012
"max_div_15_2.txt",15,2,2,4,10.827765,(8.410000 | 9.980000) (1.590000 | 1.570000) ,0.000013
"max_div_15_2.txt",15,2,2,5,10.980515,(8.650000 | 9.980000) (1.590000 | 1.570000) ,0.000011
"max_div_15_2.txt",15,2,3,2,22.048280,(8.410000 | 9.980000) (1.590000 | 1.570000) (8.650000 | 9.980000) ,0.000019
"max_div_15_2.txt",15,2,3,3,23.796438,(8.410000 | 9.980000) (0.580000 | 1.290000) (8.650000 | 9.980000) ,0.000016
"max_div_15_2.txt",15,2,3,4,24.450884,(9.960000 | 8.170000) (0.160000 | 4.620000) (1.590000 | 1.570000) ,0.000019
"max_div_15_2.txt",15,2,3,5,24.450884,(9.960000 | 8.170000) (1.590000 | 1.570000) (0.160000 | 4.620000) ,0.000016
"max_div_15_2.txt",15,2,4,2,48.413931,(8.650000 | 9.980000) (1.590000 | 1.570000) (0.580000 | 1.290000) (9.960000 | 8.170000) ,0.000023
"max_div_15_2.txt",15,2,4,3,49.546157,(9.960000 | 8.170000) (0.580000 | 1.290000) (0.160000 | 4.620000) (8.650000 | 9.980000) ,0.000021
"max_div_15_2.txt",15,2,4,4,47.256410,(9.960000 | 8.170000) (0.460000 | 3.050000) (8.650000 | 9.980000) (1.590000 | 1.570000) ,0.000023
"max_div_15_2.txt",15,2,4,5,47.706125,(9.960000 | 8.170000) (1.590000 | 1.570000) (0.160000 | 4.620000) (8.650000 | 9.980000) ,0.000019
"max_div_15_2.txt",15,2,5,2,73.877310,(8.650000 | 9.980000) (0.580000 | 1.290000) (8.410000 | 9.980000) (0.460000 | 3.050000) (9.960000 | 8.170000) ,0.000028
"max_div_15_2.txt",15,2,5,3,75.602478,(9.960000 | 8.170000) (0.580000 | 1.290000) (0.160000 | 4.620000) (8.650000 | 9.980000) (1.590000 | 1.570000) ,0.000025
"max_div_15_2.txt",15,2,5,4,72.520243,(8.410000 | 9.980000) (0.580000 | 1.290000) (9.710000 | 6.490000) (4.230000 | 0.850000) (9.960000 | 8.170000) ,0.000025
"max_div_15_2.txt",15,2,5,5,71.785472,(9.960000 | 8.170000) (1.880000 | 3.240000) (0.160000 | 4.620000) (8.410000 | 9.980000) (9.110000 | 3.230000) ,0.000023
"max_div_30_3.txt",30,3,2,2,13.073737,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) ,0.000030
"max_div_30_3.txt",30,3,2,3,11.538063,(6.750000 | 0.070000 | 1.800000) (7.470000 | 8.560000 | 9.580000) ,0.000027
"max_div_30_3.txt",30,3,2,4,11.870270,(6.750000 | 0.070000 | 1.800000) (7.540000 | 8.930000 | 9.660000) ,0.000028
"max_div_30_3.txt",30,3,2,5,11.125053,(3.260000 | 6.630000 | 1.220000) (8.320000 | 0.470000 | 8.980000) ,0.000024
"max_div_30_3.txt",30,3,3,2,32.218287,(1.530000 | 8.090000 | 9.560000) (8.390000 | 1.480000 | 1.350000) (8.060000 | 9.590000 | 0.270000) ,0.000038
"max_div_30_3.txt",30,3,3,3,33.842259,(1.530000 | 8.090000 | 9.560000) (8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) ,0.000038
"max_div_30_3.txt",30,3,3,4,30.259674,(6.750000 | 0.070000 | 1.800000) (7.540000 | 8.930000 | 9.660000) (1.530000 | 8.090000 | 9.560000) ,0.000037
"max_div_30_3.txt",30,3,3,5,28.201824,(3.260000 | 6.630000 | 1.220000) (7.540000 | 8.930000 | 9.660000) (8.390000 | 1.480000 | 1.350000) ,0.000035
"max_div_30_3.txt",30,3,4,2,59.103092,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) (0.920000 | 3.370000 | 5.610000) (7.540000 | 8.930000 | 9.660000) ,0.000046
"max_div_30_3.txt",30,3,4,3,60.871976,(1.530000 | 8.090000 | 9.560000) (6.750000 | 0.070000 | 1.800000) (7.540000 | 8.930000 | 9.660000) (8.060000 | 9.590000 | 0.270000) ,0.000050
"max_div_30_3.txt",30,3,4,4,60.555191,(8.060000 | 9.590000 | 0.270000) (6.730000 | 2.110000 | 9.030000) (1.530000 | 8.090000 | 9.560000) (6.750000 | 0.070000 | 1.800000) ,0.000044
"max_div_30_3.txt",30,3,4,5,58.636008,(1.530000 | 8.090000 | 9.560000) (8.320000 | 2.050000 | 2.680000) (8.060000 | 9.590000 | 0.270000) (9.990000 | 4.400000 | 9.760000) ,0.000044
"max_div_30_3.txt",30,3,5,2,94.212805,(1.530000 | 8.090000 | 9.560000) (8.390000 | 1.480000 | 1.350000) (9.990000 | 4.400000 | 9.760000) (3.260000 | 6.630000 | 1.220000) (8.060000 | 9.590000 | 0.270000) ,0.000055
"max_div_30_3.txt",30,3,5,3,96.283527,(8.060000 | 9.590000 | 0.270000) (8.320000 | 0.470000 | 8.980000) (0.920000 | 3.370000 | 5.610000) (7.540000 | 8.930000 | 9.660000) (6.750000 | 0.070000 | 1.800000) ,0.000054
"max_div_30_3.txt",30,3,5,4,94.700910,(6.750000 | 0.070000 | 1.800000) (7.470000 | 8.560000 | 9.580000) (8.060000 | 9.590000 | 0.270000) (5.110000 | 2.340000 | 9.840000) (1.530000 | 8.090000 | 9.560000) ,0.000057
"max_div_30_3.txt",30,3,5,5,95.064744,(8.060000 | 9.590000 | 0.270000) (5.110000 | 2.340000 | 9.840000) (1.530000 | 8.090000 | 9.560000) (8.390000 | 1.480000 | 1.350000) (9.990000 | 4.400000 | 9.760000) ,0.000064
"max_div_20_2.txt",20,2,2,2,8.510329,(0.630000 | 5.960000) (8.670000 | 3.170000) ,0.000022
"max_div_20_2.txt",20,2,2,3,8.281510,(0.630000 | 5.960000) (8.780000 | 7.430000) ,0.000017
"max_div_20_2.txt",20,2,2,4,8.005248,(8.670000 | 3.170000) (1.530000 | 6.790000) ,0.000016
"max_div_20_2.txt",20,2,2,5,7.828423,(0.630000 | 5.960000) (8.140000 | 3.750000) ,0.000016
"max_div_20_2.txt",20,2,3,2,21.458416,(0.630000 | 5.960000) (8.570000 | 8.360000) (8.450000 | 3.420000) ,0.000026
"max_div_20_2.txt",20,2,3,3,21.458416,(0.630000 | 5.960000) (8.570000 | 8.360000) (8.450000 | 3.420000) ,0.000025
"max_div_20_2.txt",20,2,3,4,20.016050,(1.160000 | 4.470000) (8.570000 | 8.360000) (8.140000 | 3.750000) ,0.000022
"max_div_20_2.txt",20,2,3,5,20.418364,(8.670000 | 3.170000) (1.480000 | 6.320000) (8.570000 | 8.360000) ,0.000031
"max_div_20_2.txt",20,2,4,2,39.341554,(1.160000 | 4.470000) (8.780000 | 7.430000) (8.670000 | 3.170000) (3.470000 | 9.430000) ,0.000032
"max_div_20_2.txt",20,2,4,3,37.934914,(1.160000 | 4.470000) (8.570000 | 8.360000) (8.450000 | 3.420000) (1.530000 | 6.790000) ,0.000038
"max_div_20_2.txt",20,2,4,4,38.286524,(1.160000 | 4.470000) (8.670000 | 3.170000) (8.570000 | 8.360000) (1.480000 | 6.320000) ,0.000031
"max_div_20_2.txt",20,2,4,5,38.369536,(8.670000 | 3.170000) (0.630000 | 5.960000) (7.750000 | 8.480000) (1.160000 | 4.470000) ,0.000028
"max_div_20_2.txt",20,2,5,2,59.213107,(0.630000 | 5.960000) (8.670000 | 3.170000) (8.780000 | 7.430000) (1.530000 | 6.790000) (8.570000 | 8.360000) ,0.000037
"max_div_20_2.txt",20,2,5,3,60.558033,(0.630000 | 5.960000) (8.670000 | 3.170000) (8.780000 | 7.430000) (1.160000 | 4.470000) (7.750000 | 8.480000) ,0.000035
"max_div_20_2.txt",20,2,5,4,59.533383,(1.970000 | 3.500000) (8.780000 | 7.430000) (3.470000 | 9.430000) (8.450000 | 3.420000) (1.530000 | 6.790000) ,0.000033
"max_div_20_2.txt",20,2,5,5,54.747894,(8.570000 | 8.360000) (1.530000 | 6.790000) (8.140000 | 3.750000) (1.480000 | 6.320000) (8.450000 | 3.420000) ,0.000036
