Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Iteraciones,Puntos de solución,Tiempo de Ejecución
"max_div_20_3.txt",30,20,3,5,3,92.829743,30,16 2 12 7 13 ,0.001166
"max_div_20_3.txt",40,20,3,5,3,92.829743,40,12 2 13 7 16 ,0.001504
"max_div_20_3.txt",50,20,3,5,3,92.829743,50,16 2 7 12 13 ,0.001861
"max_div_20_3.txt",10,20,3,5,4,92.829743,10,16 13 7 2 12 ,0.000411
"max_div_20_3.txt",20,20,3,5,4,92.829743,20,7 2 16 13 12 ,0.000779
"max_div_20_3.txt",30,20,3,5,4,92.829743,30,12 16 2 7 13 ,0.001129
"max_div_20_3.txt",40,20,3,5,4,92.829743,40,13 2 16 7 12 ,0.001504
"max_div_20_3.txt",50,20,3,5,4,92.829743,50,16 2 7 13 12 ,0.001931
"max_div_20_3.txt",10,20,3,5,5,92.829743,10,13 7 12 2 16 ,0.000411
"max_div_20_3.txt",20,20,3,5,5,92.829743,20,13 12 7 2 16 ,0.000827
"max_div_20_3.txt",30,20,3,5,5,92.829743,30,7 13 12 2 16 ,0.001123
"max_div_20_3.txt",40,20,3,5,5,92.829743,40,7 13 12 2 16 ,0.001507
"max_div_20_3.txt",50,20,3,5,5,92.829743,50,16 12 2 13 7 ,0.001909
"max_div_15_3.txt",10,15,3,2,2,13.273240,10,11 8 ,0.000127
"max_div_15_3.txt",20,15,3,2,2,13.273240,20,11 8 ,0.000232
"max_div_15_3.txt",30,15,3,2,2,13.273240,30,11 8 ,0.000317
"max_div_15_3.txt",40,15,3,2,2,13.273240,40,11 8 ,0.000403
"max_div_15_3.txt",50,15,3,2,2,13.273240,50,11 8 ,0.000505
"max_div_15_3.txt",10,15,3,2,3,13.273240,10,8 11 ,0.000128
"max_div_15_3.txt",20,15,3,2,3,13.273240,20,8 11 ,0.000220
"max_div_15_3.txt",30,15,3,2,3,13.273240,30,11 8 ,0.000325
"max_div_15_3.txt",40,15,3,2,3,13.273240,40,8 11 ,0.000408
"max_div_15_3.txt",50,15,3,2,3,13.273240,50,11 8 ,0.000506
"max_div_15_3.txt",10,15,3,2,4,13.273240,10,11 8 ,0.000131
"max_div_15_3.txt",20,15,3,2,4,13.273240,20,8 11 ,0.000221
"max_div_15_3.txt",30,15,3,2,4,13.273240,30,11 8 ,0.000314
"max_div_15_3.txt",40,15,3,2,4,13.273240,40,11 8 ,0.000419
"max_div_15_3.txt",50,15,3,2,4,13.273240,50,8 11 ,0.000501
"max_div_15_3.txt",10,15,3,2,5,13.273240,10,11 8 ,0.000127
"max_div_15_3.txt",20,15,3,2,5,13.273240,20,11 8 ,0.000228
"max_div_15_3.txt",30,15,3,2,5,13.273240,30,8 11 ,0.000315
"max_div_15_3.txt",40,15,3,2,5,13.273240,40,8 11 ,0.000410
"max_div_15_3.txt",50,15,3,2,5,13.273240,50,11 8 ,0.000506
"max_div_15_3.txt",10,15,3,3,2,31.868526,10,11 4 6 ,0.000181
"max_div_15_3.txt",20,15,3,3,2,31.868526,20,4 11 6 ,0.000330
"max_div_15_3.txt",30,15,3,3,2,31.868526,30,11 4 6 ,0.000473
"max_div_15_3.txt",40,15,3,3,2,31.868526,40,11 6 4 ,0.000614
"max_div_15_3.txt",50,15,3,3,2,31.868526,50,11 6 4 ,0.000760
"max_div_15_3.txt",10,15,3,3,3,31.868526,10,4 11 6 ,0.000189
"max_div_15_3.txt",20,15,3,3,3,31.868526,20,4 6 11 ,0.000319
"max_div_15_3.txt",30,15,3,3,3,31.868526,30,11 4 6 ,0.000468
"max_div_15_3.txt",40,15,3,3,3,31.868526,40,11 6 4 ,0.000623
"max_div_15_3.txt",50,15,3,3,3,31.868526,50,4 6 11 ,0.000764
